,player,age,ws_3,mp_3,ws_2,mp_2,ws_1,mp_1,ws_target,mp_target,avg,proj_marcel,hybrid_pred
1,Alvin Williams,26.0,0.059,1071.0,0.053,1051.0,0.063,779.0,0.109,2394.0,0.11,0.0661749936626,0.0748483687639
2,DeSagana Diop,25.0,0.063,730.0,-0.006,306.0,0.13,1510.0,0.123,1480.0,0.11,0.116112364022,0.11911983788
5,Tracy McGrady,25.0,0.189,2912.0,0.262,2954.0,0.151,2675.0,0.18,3182.0,0.11,0.190322415972,0.182236239314
6,Theo Ratliff,30.0,0.138,1800.0,0.012,82.0,0.077,2518.0,0.094,2664.0,0.11,0.0844745419845,0.0832157284021
7,Mike Conley,27.0,0.141,2174.0,0.172,2757.0,0.161,2446.0,0.147,2225.0,0.11,0.162087660066,0.154623821378
8,Jason Terry,25.0,0.047,1888.0,0.1,3089.0,0.139,2967.0,0.116,3081.0,0.11,0.122119542744,0.124229028821
9,Jacque Vaughn,30.0,0.058,1686.0,-0.002,1271.0,0.062,1410.0,0.06,1234.0,0.11,0.0492522748303,0.0532588660717
10,Wesley Person,30.0,0.094,1342.0,0.086,2056.0,0.061,958.0,0.119,2793.0,0.11,0.0790950070968,0.0786403268576
13,Shaquille O'Neal*,29.0,0.255,1705.0,0.283,3163.0,0.245,2924.0,0.262,2422.0,0.11,0.253157465416,0.228481844068
14,Milt Palacio,25.0,0.076,1141.0,0.05,790.0,0.004,1976.0,-0.02,1211.0,0.11,0.0233527130182,0.0402267724276
15,Eric Snow,26.0,0.117,775.0,0.067,918.0,0.105,1716.0,0.102,2866.0,0.11,0.100719405819,0.104228869081
16,Paul Pierce,29.0,0.109,3099.0,0.182,2960.0,0.178,3084.0,0.148,1740.0,0.11,0.170312843901,0.158021315932
17,Grant Hill,38.0,0.127,2222.0,0.104,2445.0,0.109,2430.0,0.087,2409.0,0.11,0.107574880073,0.0884704589844
18,Deron Williams,27.0,0.16,2505.0,0.177,2802.0,0.142,2465.0,0.099,1999.0,0.11,0.154688558802,0.148330941796
20,Tony Parker,32.0,0.177,1923.0,0.206,2174.0,0.141,1997.0,0.1,1953.0,0.11,0.161964783707,0.145524010062
21,Kurt Thomas,35.0,0.087,2855.0,0.112,1411.0,0.115,1208.0,0.123,1584.0,0.11,0.108079556367,0.0942966341972
22,Devean George,29.0,0.083,1951.0,0.041,306.0,0.082,1542.0,0.078,1283.0,0.11,0.0823954058787,0.0832466036081
23,Allen Iverson*,32.0,0.136,3174.0,0.165,3103.0,0.108,2761.0,0.163,3424.0,0.11,0.128149493311,0.116763755679
24,Hedo Turkoglu,26.0,0.105,1175.0,0.155,2073.0,0.092,1757.0,0.14,2615.0,0.11,0.116164104313,0.117364898324
26,Jeff Foster,31.0,0.162,1594.0,0.174,1581.0,0.124,1740.0,0.165,1884.0,0.11,0.139961354775,0.12860904634
28,Jason Kidd,24.0,0.066,2668.0,0.068,3034.0,0.107,1964.0,0.123,3118.0,0.11,0.0902439086366,0.0989175140858
29,Pau Gasol,25.0,0.138,2948.0,0.159,2458.0,0.184,1790.0,0.184,3135.0,0.11,0.168826832289,0.163953945041
31,Tony Battie,27.0,0.131,845.0,0.164,1819.0,0.164,1683.0,0.074,1478.0,0.11,0.160799063252,0.153527989984
33,Zaza Pachulia,22.0,0.023,664.0,0.099,1397.0,0.077,2452.0,0.114,2026.0,0.11,0.0840453052976,0.0972436219454
36,Jason Terry,33.0,0.16,2579.0,0.14,2491.0,0.123,2540.0,0.1,2564.0,0.11,0.130223545457,0.116729006171
37,Damon Jones,25.0,0.095,344.0,0.053,612.0,0.062,1415.0,0.084,1083.0,0.11,0.067762347041,0.0779973417521
40,Damien Wilkins,30.0,0.066,2037.0,0.027,1843.0,0.002,636.0,0.056,1585.0,0.11,0.0334948376019,0.0398572087288
41,Elden Campbell,29.0,0.087,2076.0,0.147,2699.0,0.134,2516.0,0.126,1784.0,0.11,0.133683776335,0.126868024468
44,Tim Thomas,29.0,0.093,2089.0,0.054,1940.0,0.065,666.0,0.092,2054.0,0.11,0.0690857804366,0.0719268471003
46,Lou Williams,27.0,0.141,1747.0,0.174,1682.0,0.103,1119.0,0.087,1445.0,0.11,0.134326761741,0.131012961268
